"alti","nom"
"0","Huangyan_Luqiao_Airport"
"0","Hydaburg_Seaplane_Base"
"0","IAR_Gimbav_Heliport"
"0","Interlaken_Air_Base"
"0","Jiansanjiang_Airport"
"0","Jieyang_Chaoshan_International_Airport"
"0","Jinzhou_Airport"
"0","Jiujiang_Lushan_Airport"
"0","Kangel_Danda_Airport"
"0","Karamay_Airport"
"0","Kenebetsu_JASDF_Airfield"
"0","Kintore_Airport"
"0","Kishangarh_Airport"
"0","Klawock_Seaplane_Base"
"0","Kodinsk_Airport"
"0","Korla_Airport"
"0","Kratie_Airport"
"0","Kuria_Airport"
"0","Lancang_Jingmai_Airport"
"0","Lianyungang_Airport"
"0","Libo_Airport"
"0","Lijiang_Airport"
"0","Liman_Airfield"
"0","Lipki_Air_Base"
"0","Liupanshui_Yuezhao_Airport"
"0","Lodrino_Air_Base"
"0","Luliang_Airport"
"0","Luzhou_Airport"
"0","Mabuiag_Island_Airport"
"0","Makin_Island_Airport"
"0","Mampikony_Airport"
"0","Mana_Island_Airport"
"0","Manihiki_Island_Airport"
"0","Maota_Airport"
"0","Marau_Airport"
"0","Markovo_Airport"
"0","Meixian_Airport"
"0","Melitopol_Air_Base"
"0","Menindee_Airport"
"0","Metlakatla_Seaplane_Base"
"0","Mianyang_Airport"
"0","Mono_Airport"
"0","Mount_Allan_Airport"
"0","Mount_Davies_Airport"
"0","Mount_Liebig_Airport"
"0","Mount_Weld_Airport"
"0","Nanaimo_Harbour_Water_Airport"
"0","Nanchong_Airport"
"0","Nassau_Paradise_Island_Airport"
"0","Navoi_Airport"
"0","Noonkanbah_Airport"
"0","Nordborg_Flyveplads"
"0","Nypari_Airport"
"0","Nyrripi_Airport"
"0","Okhotsk_Airport"
"0","Olten_Airport"
"0","Omsk_Severny_Airport"
"0","Osovtsy_Air_Base"
"0","Penneshaw_Airport"
"0","Peski_Airport"
"0","Poeketi_Airstrip"
"0","Ponte_de_Sor_Airport"
"0","Port_Hardy_Seaplane_Base"
"0","Prince_Rupert/Seal_Cove_Seaplane_Base"
"0","Pu'er_Simao_Airport"
"0","Qiemo_Yudu_Airport"
"0","Qingyang_Airport"
"0","Quanzhou_Jinjiang_International_Airport"
"0","Quzhou_Airport"
"0","RAF_Brawdy"
"0","Ramata_Airport"
"0","Ratanakiri_Airport"
"0","Rennell/Tingoa_Airport"
"0","Ringi_Cove_Airport"
"0","Rugao_Air_Base"
"0","Saskylakh_Airport"
"0","Schroeder's_field"
"0","Sege_Airport"
"0","Severo-Evensk_Airport"
"0","Shanshan_Airport"
"0","Shenyang_Dongta_Airport"
"0","Shiyan_Wudangshan_Airport"
"0","Shubuling_Airport"
"0","Shushenskoye_Airport"
"0","Siquijor_Airport"
"0","Ska-Edeby_Airport"
"0","Sortavala_Airport"
"0","Suavanao_Airport"
"0","Sun_Island_Resort_and_SPA"
"0","Suzhou_Guangfu_Airport"
